function	function_usr	provenance	current_source	current_header	original_source	original_header	linux	macos	freebsd	native_function	native_function_usr
p101_posix_spawnattr_getsigdefault	c:@F@p101_posix_spawnattr_getsigdefault	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_getsigdefault	c:@F@posix_spawnattr_getsigdefault
p101_posix_spawnattr_getsigmask	c:@F@p101_posix_spawnattr_getsigmask	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_getsigmask	c:@F@posix_spawnattr_getsigmask
p101_posix_spawnattr_init	c:@F@p101_posix_spawnattr_init	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_init	c:@F@posix_spawnattr_init
p101_posix_spawnattr_setflags	c:@F@p101_posix_spawnattr_setflags	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_setflags	c:@F@posix_spawnattr_setflags
p101_posix_spawnattr_setpgroup	c:@F@p101_posix_spawnattr_setpgroup	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_setpgroup	c:@F@posix_spawnattr_setpgroup
p101_posix_spawnattr_setsigdefault	c:@F@p101_posix_spawnattr_setsigdefault	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_setsigdefault	c:@F@posix_spawnattr_setsigdefault
p101_posix_spawnattr_setsigmask	c:@F@p101_posix_spawnattr_setsigmask	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnattr_setsigmask	c:@F@posix_spawnattr_setsigmask
p101_posix_spawnp	c:@F@p101_posix_spawnp	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/spawn.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_spawn.h	yes	yes	yes	posix_spawnp	c:@F@posix_spawnp
p101_putenv	c:@F@p101_putenv	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/stdlib.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_stdlib.h	yes	yes	yes	putenv	c:@F@putenv
p101_sched_get_priority_max	c:@F@p101_sched_get_priority_max	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/sched.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_sched.h	yes	yes	yes	sched_get_priority_max	c:@F@sched_get_priority_max
p101_sched_get_priority_min	c:@F@p101_sched_get_priority_min	POSIX-optional	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_optional/src/sched.c	libraries/lib_posix_optional/include/p101_posix_optional/p101_sched.h	yes	yes	yes	sched_get_priority_min	c:@F@sched_get_priority_min
p101_sched_yield	c:@F@p101_sched_yield	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/sched.c	libraries/lib_posix/include/p101_posix/p101_sched.h	yes	yes	yes	sched_yield	c:@F@sched_yield
p101_setenv	c:@F@p101_setenv	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h	yes	yes	yes	setenv	c:@F@setenv
p101_setpgid	c:@F@p101_setpgid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	setpgid	c:@F@setpgid
p101_setpriority	c:@F@p101_setpriority	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/sys/resource.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_resource.h	yes	yes	yes	setpriority	c:@F@setpriority
p101_setrlimit	c:@F@p101_setrlimit	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/sys/resource.c	libraries/lib_posix_xsi/include/p101_posix_xsi/sys/p101_resource.h	yes	yes	yes	setrlimit	c:@F@setrlimit
p101_setsid	c:@F@p101_setsid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	setsid	c:@F@setsid
p101_sigaction	c:@F@p101_sigaction	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigaction	c:@F@sigaction
p101_sigaddset	c:@F@p101_sigaddset	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigaddset	c:@F@sigaddset
p101_sigaltstack	c:@F@p101_sigaltstack	XSI	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix_xsi/src/signal.c	libraries/lib_posix_xsi/include/p101_posix_xsi/p101_signal.h	yes	yes	yes	sigaltstack	c:@F@sigaltstack
p101_sigdelset	c:@F@p101_sigdelset	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigdelset	c:@F@sigdelset
p101_sigemptyset	c:@F@p101_sigemptyset	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigemptyset	c:@F@sigemptyset
p101_sigfillset	c:@F@p101_sigfillset	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigfillset	c:@F@sigfillset
p101_sigismember	c:@F@p101_sigismember	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigismember	c:@F@sigismember
p101_siglongjmp	c:@F@p101_siglongjmp	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/setjmp.c	libraries/lib_posix/include/p101_posix/p101_setjmp.h	yes	yes	yes	siglongjmp	c:@F@siglongjmp
p101_sigpending	c:@F@p101_sigpending	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigpending	c:@F@sigpending
p101_sigprocmask	c:@F@p101_sigprocmask	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigprocmask	c:@F@sigprocmask
p101_sigsuspend	c:@F@p101_sigsuspend	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigsuspend	c:@F@sigsuspend
p101_sigwait	c:@F@p101_sigwait	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/signal.c	libraries/lib_posix/include/p101_posix/p101_signal.h	yes	yes	yes	sigwait	c:@F@sigwait
p101_sleep	c:@F@p101_sleep	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/unistd.c	libraries/lib_posix/include/p101_posix/p101_unistd.h	yes	yes	yes	sleep	c:@F@sleep
p101_times	c:@F@p101_times	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/sys/times.c	libraries/lib_posix/include/p101_posix/sys/p101_times.h	yes	yes	yes	times	c:@F@times
p101_unsetenv	c:@F@p101_unsetenv	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/stdlib.c	libraries/lib_posix/include/p101_posix/p101_stdlib.h	yes	yes	yes	unsetenv	c:@F@unsetenv
p101_wait	c:@F@p101_wait	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/sys/wait.c	libraries/lib_posix/include/p101_posix/sys/p101_wait.h	yes	yes	yes	wait	c:@F@wait
p101_waitid	c:@F@p101_waitid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/sys/wait.c	libraries/lib_posix/include/p101_posix/sys/p101_wait.h	yes	yes	yes	waitid	c:@F@waitid
p101_waitpid	c:@F@p101_waitpid	POSIX	libraries/lib_process/src/process.c	libraries/lib_process/include/p101_process/process.h	libraries/lib_posix/src/sys/wait.c	libraries/lib_posix/include/p101_posix/sys/p101_wait.h	yes	yes	yes	waitpid	c:@F@waitpid
